"Album Title","Song title","Primary artist",Featuring,Authors,Composer,Producer,"Singer Instagram Handle","Label Name","Lyrics Languages","Music Genre","Music Sub-Genre","Music Mood","Release date","All Music Streaming Store","YouTube Music","YouTube Content ID",Explicit,"Caller Tune","Caller Tune Name","Caller Tune Duration","Ask to generate an ISRC","ISRC Code",UPC/EAN,"Catalogue number","Upload Cover","Upload Song",Status
"Kot kacheri thano","Din ugego","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1MHMKQ2EVQB2Z9Y7XPAA.mp3,Pending
"Kot kacheri thano","Sasure me yad aabe","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1Q7QV2YT6EEP6ZA2G5VJ.mp3,Pending
"Kot kacheri thano","Ud jaye dhajjiya","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1SDM736WJ9CRQW6ZM1BD.mp3,Pending
"Mat Dhook Hase Hur Pari","Mat Dhook Hase Hur pari","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3B4XD69T313799KSN741.mp3,Pending
"Mat Dhook Hase Hur Pari","Mene toite karo","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3DHMG2QXNCJKMA39NMYF.mp3,Pending
"Mat Dhook Hase Hur Pari","Mere baba patiya vale","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3G7MN4EXWTZPKM941G9Q.mp3,Pending
"Mat Dhook Hase Hur Pari","Raja na rahu tere sath","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3JZMXPA3ZD95TR606W1Y.mp3,Pending
"Mat Dhook Hase Hur Pari","Teri He jaye shadi o janu","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3NHMYTMD6ZKNADXF011W.mp3,Pending
"Mat Dhook Hase Hur Pari","Ek lal lagada vali","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3RSMS2W3F5322EMBN78A.mp3,Pending
"Mat Dhook Hase Hur Pari","Atta pe thadi nar","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3VNMY747BNTMYQ500Q4H.mp3,Pending
