"Moku aabe hasi","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(Moku aabe hasi : 00:00:40)",INF512311198,01JF32BSWYPRJ9N57FRB4A6TF2.jpg,01JF32BSZW2J8MKP984ZEBWWE0.mp3
"Kese chhori pedal ja rahi chhori ","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(Kese chhori pedal ja rahi : 00:00:35)",INF512311199,01JF32H609FFGR9HNENH7XZP1Q.jpg,01JF32H63WS4SE90FYBB2XAH17.mp3
"Dil mero mat Tode","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,sad,Yes,Yes,Yes,Yes,"(Dil mero mat Tode : 00:00:35)",INF512311200,01JF32NCE1ZKAKR8CVM161P6SN.jpg,01JF32NCH4R4ZGY8QFYGYKFV37.mp3
"Up vali chhori aaja nachale mere sang","Singer Shishupal Kushwah , Editor Anil kushwah ","Editor Anil kushwah","Vinod sir","Editor Anil kushwah","Krishna Jaan Music",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,2024-12-14,hindi,pop,indie_pop,happy,Yes,Yes,Yes,Yes,"(Up vali chhori aaja nachale mere sang : 00:00:30)",INF512311201,01JF32V8E6M22HDPGS8A1CPBGH.jpg,01JF32V8HWV8Y2GF18G4EVM0Q6.mp3
"JATAV KE M MAR BETHI ",,Krishna,"Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-16,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311203,01JF71039VJE2MKRAXJ1HHM8PR.jpg,01JF71039XD697ESYKH48JTTMZ.mp3
"Dj Pe Nachadi Meri Jiji ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-16,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311204,01JF79WR3R45KP7ANBACG599GG.jpg,01JF79WR466QWJA4K1CBYFGQMT.mp3
"Nai Saal Ki Ram Ram Leja Meri Pyari",,"Banti Rajsthani","Banti Rajsthani","SK rock","Sk Star Music",banteerajasthani,2024-12-12,hindi,folk,indie_pop,happy,Yes,Yes,Yes,Yes,No,INF512311205,01JF9FA1BN58BK0FSD4TQEN1CN.jpg,01JF9FA1BPQQND7G15G83RBPX3.mp3
"Happy New Year Meri Pyari",,"Banti Rajsthani","Banti Rajsthani","SK Rock, Shri Kishan","Sk Star Music",banteerajasthani,2024-12-12,hindi,folk,indie_pop,happy,Yes,Yes,Yes,No,No,INF512311206,01JF9FFMF7DSSQKH4CZF4KC739.jpg,01JF9FFMF9R2VN4NBKQM9CQ23W.mp3
"Jatav Gadar Macha Denge","Singer Vinay Jatav, Vipin Jatav","Vinay Gautam",JSLadla,"Gaurav Jeetgadhiwala","KS Music Studio",https://www.instagram.com/singer_vinayjatav/profilecard/?igsh=cHloN2M4bjFhYzJx,2024-12-17,hindi,classical,haryanvi,happy,Yes,Yes,Yes,Yes,No,INF512311207,01JFA15FKYKQ6CQJZ846QV6XJN.jpg,01JFA15FKZCN7RCBV310V7C1PG.wav
"Parnaam Shaheedan Nu","Tarlok Singh Usa","Azad Jalandhari","Tarlok Singh Usa","Makhan Lohar","Mtrack Entertainment",https://www.instagram.com/mtrackentertainment,2024-12-16,punjabi,devotional,bollywood_devotional,sad,Yes,Yes,Yes,No,No,INF512311208,01JFAJJ318JFJ1KHQ86T9GC548.JPG,01JFAJJ3BPFQ6A15JZQ0Q722TE.wav
"MADAM DOVE SAVAN TE ",,K.k.jaan,"Rahul Marshal","Rahul Marshal","[Marshal Music Company] Mehnat Studio","Singer Abhishek chhawar",2024-12-17,hindi,pop,bollywood_dance,happy,Yes,Yes,Yes,Yes,No,INF512311209,01JFAM07CCX9VZ4HB1XGVF8N0R.jpg,01JFAM07H33QKFNCW8PEX9R794.mp3
"Chori Tere Love Ki Kitab Deja ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311212,01JFCBW5G5HTYSF6HHWQ8MVBBX.jpg,01JFCBW5X7JKC2WZB0W6ZJNVD4.mp3
"Kabutar Banke Aau Tere Ghar Pe ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311213,01JFCCER069D3KZS3K1FNVHW89.jpg,01JFCCER2F5E24FDYPK3AYTM74.mp3
"Kafan Leke Aieh Zestfilm Sound ","Vikash Babu, Savita Yadav ","Minu Madhosh","Deepak Varma","Rajnish Raaza","ZestFilm Sound Private Limited",zestfilmsound,2024-12-18,hindi,classical,bollywood_classical,sad,Yes,Yes,Yes,No,"(Hamar Jan Tu bihan Kafan Leke : 00)",INF512311211,01JFCJSDG7H05TT5S8JT1211G1.jpg,01JFCJSDTQY892F5KGEC136QVR.wav
